REF_DATE,GEO,DGUID,Type of unit,Type of market,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jun-88,Canada,2016A000011124,Total units,Homeowner,Units,300,units,0,v15818397,1.1.1,11585,,,,0
Jun-88,Canada,2016A000011124,Total units,Rental,Units,300,units,0,v15818408,1.1.2,2963,,,,0
Jun-88,Canada,2016A000011124,Total units,Condo,Units,300,units,0,v15818419,1.1.3,2345,,,,0
Jun-88,Canada,2016A000011124,Total units,Co-op,Units,300,units,0,v15818430,1.1.4,243,,,,0
Jun-88,Canada,2016A000011124,Total units,Other market type,Units,300,units,0,v15818441,1.1.5,28,,,,0
Jun-88,Canada,2016A000011124,Single-detached units,Homeowner,Units,300,units,0,v15818177,1.2.1,10511,,,,0
Jun-88,Canada,2016A000011124,Single-detached units,Rental,Units,300,units,0,v15818188,1.2.2,13,,,,0
Jun-88,Canada,2016A000011124,Single-detached units,Condo,Units,300,units,0,v15818199,1.2.3,22,,,,0
Jun-88,Canada,2016A000011124,Single-detached units,Co-op,Units,300,units,0,v15818210,1.2.4,0,,,,0
Jun-88,Canada,2016A000011124,Single-detached units,Other market type,Units,300,units,0,v15818221,1.2.5,10,,,,0
Jun-88,Canada,2016A000011124,Semi-detached units,Homeowner,Units,300,units,0,v15818232,1.3.1,413,,,,0
Jun-88,Canada,2016A000011124,Semi-detached units,Rental,Units,300,units,0,v15818243,1.3.2,36,,,,0
Jun-88,Canada,2016A000011124,Semi-detached units,Condo,Units,300,units,0,v15818254,1.3.3,50,,,,0
Jun-88,Canada,2016A000011124,Semi-detached units,Co-op,Units,300,units,0,v15818265,1.3.4,0,,,,0
Jun-88,Canada,2016A000011124,Semi-detached units,Other market type,Units,300,units,0,v15818276,1.3.5,18,,,,0
Jun-88,Canada,2016A000011124,Row units,Homeowner,Units,300,units,0,v15818287,1.4.1,565,,,,0
Jun-88,Canada,2016A000011124,Row units,Rental,Units,300,units,0,v15818298,1.4.2,399,,,,0
